dep;jour;n_dose1;n_complet;n_cum_dose1;n_cum_complet;couv_dose1;couv_complet
01;2020-12-27;1;0;1;0;0.0;0.0
01;2020-12-28;0;0;1;0;0.0;0.0
01;2020-12-29;0;0;1;0;0.0;0.0
01;2020-12-30;0;0;1;0;0.0;0.0
01;2020-12-31;0;0;1;0;0.0;0.0
01;2021-01-01;2;0;3;0;0.0;0.0
01;2021-01-02;0;0;3;0;0.0;0.0
01;2021-01-03;0;0;3;0;0.0;0.0
01;2021-01-04;2;0;5;0;0.0;0.0
01;2021-01-05;2;0;7;0;0.0;0.0
01;2021-01-06;1;0;8;0;0.0;0.0
01;2021-01-07;67;0;75;0;0.0;0.0
01;2021-01-08;159;0;234;0;0.0;0.0
01;2021-01-09;2;1;236;1;0.0;0.0
01;2021-01-10;0;0;236;1;0.0;0.0
01;2021-01-11;148;0;384;1;0.1;0.0
01;2021-01-12;317;2;701;3;0.1;0.0
01;2021-01-13;444;1;1145;4;0.2;0.0
01;2021-01-14;529;3;1674;7;0.3;0.0
01;2021-01-15;397;3;2071;10;0.3;0.0
01;2021-01-16;202;0;2273;10;0.3;0.0
01;2021-01-17;128;0;2401;10;0.4;0.0
01;2021-01-18;378;1;2779;11;0.4;0.0
01;2021-01-19;1041;1;3820;12;0.6;0.0
01;2021-01-20;1262;2;5082;14;0.8;0.0
01;2021-01-21;1098;4;6180;18;0.9;0.0
01;2021-01-22;645;0;6825;18;1.0;0.0
01;2021-01-23;222;0;7047;18;1.1;0.0
01;2021-01-24;71;1;7118;19;1.1;0.0
01;2021-01-25;485;1;7603;20;1.2;0.0
01;2021-01-26;740;3;8343;23;1.3;0.0
01;2021-01-27;517;3;8860;26;1.3;0.0
01;2021-01-28;682;52;9542;78;1.5;0.0
01;2021-01-29;637;100;10179;178;1.5;0.0
01;2021-01-30;236;15;10415;193;1.6;0.0
01;2021-01-31;62;0;10477;193;1.6;0.0
01;2021-02-01;458;71;10935;264;1.7;0.0
01;2021-02-02;516;175;11451;439;1.7;0.1
01;2021-02-03;374;253;11825;692;1.8;0.1
01;2021-02-04;478;387;12303;1079;1.9;0.2
01;2021-02-05;441;259;12744;1338;1.9;0.2
01;2021-02-06;261;123;13005;1461;2.0;0.2
01;2021-02-07;2;97;13007;1558;2.0;0.2
01;2021-02-08;505;364;13512;1922;2.1;0.3
01;2021-02-09;775;803;14287;2725;2.2;0.4
01;2021-02-10;952;678;15239;3403;2.3;0.5
01;2021-02-11;791;726;16030;4129;2.4;0.6
01;2021-02-12;638;511;16668;4640;2.5;0.7
01;2021-02-13;161;114;16829;4754;2.6;0.7
01;2021-02-14;0;9;16829;4763;2.6;0.7
01;2021-02-15;437;400;17266;5163;2.6;0.8
01;2021-02-16;659;362;17925;5525;2.7;0.8
01;2021-02-17;520;237;18445;5762;2.8;0.9
01;2021-02-18;589;528;19034;6290;2.9;1.0
01;2021-02-19;580;215;19614;6505;3.0;1.0
01;2021-02-20;201;139;19815;6644;3.0;1.0
01;2021-02-21;0;1;19815;6645;3.0;1.0
01;2021-02-22;427;492;20242;7137;3.1;1.1
01;2021-02-23;482;465;20724;7602;3.2;1.2
01;2021-02-24;433;420;21157;8022;3.2;1.2
